parallax,spect_type  ,vmag ,bv_color
32.1,K2V         ,8.46,0.896
41.28,G3V         ,6.98,0.619
12.2,G7III       ,5.1,0.934
3.8,A4V         ,9.35,0.381
4.75,A0V         ,8.29,0.035
9.44,A2/A3IV     ,7.49,0.21
5.02,F6V         ,8.49,0.526
5.62,K1III       ,7.28,1.093
8.5,A9III       ,7.76,0.278
8.86,K0III       ,9.27,0.879
1.53,A0IV        ,9.18,0.081
2.82,B5III/IV    ,7.05,-0.067
8.61,F6V         ,9.4,0.567
3.82,Ap...       ,9.35,0.269
3.55,G8/K0III:   ,8.2,0.947
1.48,K3III:      ,8.18,1.708
        ,Me          ,8.81,1.5
3.35,K0III       ,8.58,1.22
10.83,F8/G0V      ,8.53,0.586
3.57,A2/A3IV/V   ,7.92,0.195
1.98,K4III       ,7.88,1.493
3.16,A2V         ,8.62,0.175
5.89,B8V         ,6.27,-0.104
1.28,K2/K3III:   ,8.51,1.615
7.69,F3V         ,8.73,0.399
20.29,G6V         ,8.65,0.692
4.3,K0IIICN...  ,8.07,1.168
10.25,G1V         ,9.44,0.58
32.84,M           ,10.12,1.17
15.6,F6V         ,7.49,0.556
1.55,G8III       ,9.3,0.994
6.1,K0III       ,6.63,1.042
3.48,K2III       ,8.65,1.264
3.19,A2/A3V      ,8.35,0.212
12.69,F6V         ,8.2,0.538
5.68,K0III       ,6.72,1.018
3.85,G8/K0III    ,8.6,1.071
6.16,F8V         ,8.65,0.587
3.82,K2III       ,7.59,1.341
6.22,A6/A7IV     ,7.23,0.239
4.34,B5          ,10.73,0.631
17.05,G8V         ,9.39,0.77
11.86,F7V         ,7.88,0.563
4.58,G8/K0III    ,7.39,0.991
13.91,G3IV/V      ,8.65,0.643
5.76,F7V         ,9.58,0.546
20.12,F6V         ,7.12,0.496
3.39,M5III       ,8.25,1.601
3.48,K3III       ,8.02,1.459
11.77,Ap...       ,6.79,0.16
7.65,F3IV        ,8.27,0.405
5.93,A3/A4V      ,8.27,0.254
18.61,F0/F2III    ,5.78,0.359
5.36,K1III       ,8.55,1.193
4.76,A0V         ,8.47,0.068
5.78,G6/G8III    ,6.6,0.919
10.72,F7IV        ,6.7,0.534
2.4,M3III       ,8.41,1.574
2.89,G8/K0III    ,9.26,1.104
5.29,K1III       ,6.51,1.107
4.47,K0III       ,8.27,1.318
