parallax,spect_type  ,vmag ,bv_color
4.87,Ap...       ,9.54,0.033
3.26,G8III       ,8.18,1.096
2.71,M1/M2III    ,7.44,1.654
16.2,G5V         ,9.04,0.697
3.38,K1III       ,8.58,1.158
3.49,F2          ,10.12,0.382
5.77,G3V         ,9.34,0.715
0.53,A0V         ,9.44,0.12
5.48,G8III       ,8.06,0.978
2.77,G8IV/V      ,10.02,0.85
4,K1III       ,7.34,1.13
3.88,B9V         ,8.94,0.002
22.4,            ,10.48,1.197
3.49,K1/K2III    ,9.09,1.159
2.79,G8/K0III    ,7.95,0.927
0.51,C           ,9.56,1.33
1.2,K1/K2III:   ,9.51,1.2
1.92,F0II        ,7.65,0.551
4.16,K0III       ,7.85,1.029
-0.52,G8III       ,7.78,1.132
10.56,F5V         ,8.33,0.463
-0.19,G8III       ,8.78,1.036
2.84,B9V         ,8.53,0.039
2.14,G5          ,9.9,1.217
7.41,F3/F5IV/V   ,9.14,0.413
17.8,            ,10.6,1.107
2.44,M2/M3III    ,9.03,1.521
2,K0III       ,8.61,1.006
2.46,K3III       ,8.36,1.546
13.32,G5/G6V      ,10.05,0.663
10.63,K3III       ,5.67,1.101
4.36,G5          ,9.58,1.136
1.61,F5          ,10.76,0.487
9.72,G8/K0III    ,5.92,0.957
1.9,K1III       ,8.96,1.131
5.8,F3V         ,8.84,0.479
1.95,K2/K3III    ,8.41,1.341
2.16,B9V         ,8.82,-0.042
19.65,K3V         ,10.3,1.136
0.75,A0V         ,8.87,0.094
28.67,K1V         ,6.53,0.891
7.11,G8III +A7/F0,8.08,0.764
4.14,K3III       ,6.47,1.424
1.24,G2Ib        ,7.03,0.835
5.01,K0III       ,8.11,1.041
3.36,F8          ,10.36,0.568
1.82,K2/3III +A/F,7.62,1.11
2.75,B8V         ,9.84,-0.3
4.42,F3IV        ,9.23,0.511
22.58,G8V         ,8.75,0.746
2.28,B5II        ,6.64,-0.076
2.62,A           ,8.89,0.149
15.75,F6V         ,7.91,0.501
16.11,G5          ,10.29,0.844
5.76,K0III       ,8.7,1.09
5.82,G6III       ,7.21,0.905
10.25,G0V         ,8.54,0.569
3.26,K1IIICN...  ,8.57,1.165
-0.86,A           ,8.95,0.115
8.66,F3V         ,10.16,0.432
5.88,A1V         ,8.92,0.132
5.84,M2III       ,5.53,1.615
27.42,K2V         ,8.72,0.872
2.55,Ap...       ,8.17,-0.085
9.09,A0V         ,6.4,0.026
1.53,G8III       ,8.37,1
7.19,K1IIICN...  ,8.11,1.123
4.63,G6/G8V      ,9.64,0.838
8.99,F2V         ,7.9,0.377
4.78,K3III       ,6.93,1.36
6.36,G8IV        ,7.22,0.923
6.27,B9V         ,6.29,-0.057
1.53,A2V         ,9.16,0.121
6.7,F2IV/V      ,7.88,0.368
3.68,A2V         ,8.35,0.125
7.18,K2III       ,5.46,1.351
5.06,F5          ,10.52,0.391
5.99,F8          ,10.31,0.52
0.76,F0          ,10.46,0.371
19.05,G3V         ,7.33,0.663
2.04,G6/G8III    ,8,0.997
4.1,K4III       ,7.19,1.484
3.13,G8III       ,9.01,1.093
2.88,B8/B9V      ,8.65,0.068
4.54,G8III       ,7.8,0.96
8.2,F2/F3V      ,7.9,0.412
16.02,G0V         ,8.38,0.571
        ,Am          ,8.89,0.61
8.24,G5          ,9.72,0.636
1.39,K0III       ,8.09,1.04
9.28,G0          ,10.09,0.6
11.09,Fm...       ,6.04,0.423
28.51,K2          ,10.07,1.192
19.65,G8V         ,9.34,0.755
5.98,K1III       ,6.96,1.125
4.39,G8III       ,8.97,0.962
3.44,K2III       ,7.24,1.267
3.08,A0V         ,8.77,0.101
2.86,K1III       ,8.93,1.204
3.77,K0III       ,8.64,1.124
3.19,G8III       ,7.02,1.184
10.76,            ,10.85,0.719
20.27,K1Vp...     ,9.4,0.86
1.22,M1III       ,7.49,1.745
1.74,G8IV        ,9.11,0.99
2.66,F2III/IV    ,7.7,0.387
2.41,B3IV        ,7.27,-0.118
3.05,G8/K0III    ,7.83,1.21
5.55,G5V         ,9.48,0.668
2.87,G5          ,9.4,1.007
10.02,F8/G0w...   ,8.66,0.573
1.4,Gp          ,10.49,0.788
5.28,K1VCN...    ,9.57,1.037
3.43,K2III       ,7.53,1.194
2.69,K2/K3       ,8.44,1.277
6.76,G5          ,10.08,0.63
3.74,K1III:      ,9.03,1.233
3.85,G8III/IVCN. ,7.96,0.931
2.4,G8III       ,6.96,1.097
10.83,F5IV        ,7.97,0.435
44.82,M4          ,12.38,1.53
6.85,A7Vm...     ,7.87,0.226
3.91,F2          ,9.89,0.547
18.8,G2/G3V      ,8.32,0.595
6.33,F3V         ,8.43,0.47
2.18,G8III       ,8.63,0.9
4.38,F5          ,11.17,0.66
1.38,G6/G8V      ,10.04,0.984
4.1,M2/M3III    ,7.52,1.482
20.47,            ,10.47,1.336
1.65,G6III       ,9.04,0.921
7.23,G5          ,10.71,0.639
1.8,K0III       ,8.5,1.219
4.24,A2V         ,8.2,0.38
4.11,K0/K1III+.. ,9.32,0.849
4.35,G6IV/V      ,8.9,0.917
13.36,G6/G8V      ,9.51,0.67
4.36,K1/K2III    ,7.78,1.311
11.22,G2/G3V      ,9.43,0.634
16.64,A3m...      ,5.92,0.279
2.47,B8II        ,8.47,-0.011
2.73,G8/K0III    ,9.3,0.972
2.62,G8/K0III:   ,9.63,1.254
3.62,K0III       ,7.92,1
3.98,G3V         ,9.27,0.73
6.14,F3V         ,8.89,0.4
13.06,G1V         ,8.76,0.594
10.22,A0V         ,5.71,0.006
0.81,K2/K3V      ,8.02,1.44
9.45,F0V         ,8.4,0.377
19.33,F2V         ,5.28,0.371
2.26,B5II/III    ,7.74,-0.084
4.07,F0V         ,9.09,0.48
7.36,B3V         ,3.91,-0.192
10.51,K4III       ,7.58,1.199
4.59,F2          ,10.36,0.407
5.51,B3V         ,5.18,-0.164
4.19,G8IV        ,8.76,1.1
4.06,F3V         ,9.16,0.457
-3.12,B5          ,11.3,0.053
3.19,G8III       ,8.91,1.104
1.1,B2/B3II     ,9.66,0.411
9.72,G0V         ,8.95,0.584
26.01,F2IV/V      ,6.67,0.404
4.41,F0          ,9.97,0.451
10.4,F2IV/V      ,6.83,0.353
22.71,            ,10.64,1.243
7.02,F7V         ,8.81,0.568
6.52,K0III       ,7.28,1
4.41,            ,12.06,        
3.6,K0III       ,7.8,1.285
1.17,G           ,10.99,0.264
10.48,K1III       ,7.75,1.043
8.32,A0V         ,6.99,0.008
10.25,F5V         ,8.5,0.498
6.59,G0          ,9.97,0.535
1.4,M2          ,8.82,1.589
13.37,A1V         ,5.94,0.154
4.36,F3V         ,9.01,-0.4
3.49,K1/K2IIIp.. ,9.18,1.447
6.36,F6V         ,8.89,0.558
2.55,F2III       ,8.3,0.378
2.93,G5          ,9.93,1.079
4.33,M1III       ,5.52,1.651
11.36,G6V         ,9.42,0.683
16.52,F7V         ,9,0.54
5.01,K0III       ,7.74,1.014
9.05,A8/A9V      ,8.19,0.32
18.02,M           ,9.72,0.968
2.82,K3III       ,8.28,1.307
25.5,K7          ,10.78,1.21
6.76,K1III       ,7.35,1.1
5.2,G0          ,10.34,0.62
4.03,A1m...      ,9.85,0.248
2.99,G8III       ,7.94,0.944
1.83,B5Vn        ,7.08,0.013
1.13,K1III       ,8.92,1.198
3.71,G6/G8III    ,7.51,0.921
6.18,F5V         ,8.23,0.515
2.75,K0p...      ,7.96,1.25
7.94,G5          ,10.36,0.753
6.71,F2/F3V      ,8.49,0.475
1.17,G5/G6III    ,8.77,1.267
20.14,K0Vp        ,8.43,0.784
20.35,F5V         ,7.13,0.445
5.25,K4III       ,7.69,1.51
4.6,G8III       ,7,1.029
5.51,K0III       ,8.11,1.134
2.98,K4III       ,7.83,1.528
1.28,B5V         ,7.47,-0.106
4.73,A2/A3V      ,7.96,0.226
0.39,G5          ,8.57,1.28
16.5,F8/G0V      ,8.38,0.67
6.95,F8          ,10.14,0.643
1.77,G8/K0III    ,8.77,1.108
9.75,F0V         ,8.25,0.398
3.15,B5V         ,7.05,-0.122
3.67,F3V         ,9.54,0.546
15.68,G5V         ,9.31,0.685
2.12,K3V:        ,9.3,0.89
0.22,A0V         ,6.89,0.262
2.15,G8/K0IV     ,8.96,1.203
6.43,B9V         ,6.22,-0.08
1.99,B8III       ,7.93,-0.112
2.93,G8/K0III    ,8.75,1.069
25.58,G8III       ,4.01,1.08
3.9,F2V         ,8.37,0.9
3.63,B9V         ,8.24,0.059
7.19,F2V         ,8.62,0.402
24.06,G8V         ,8.78,0.752
0.84,M0III       ,8.4,1.64
5.06,G6IV/V      ,8.76,0.784
6.17,K0III       ,7.61,1.089
16.23,G1V         ,8.66,0.569
11.64,G3V         ,8.96,0.62
1.66,Ap          ,9.49,0.168
2.16,G8III       ,8.45,1.032
10.24,F3V         ,8.3,0.436
4.3,K0III       ,8.52,1.082
10.14,G5          ,9.97,0.72
5.95,F7V         ,9.27,0.601
2.84,A0IV/V      ,7.71,0.037
46.32,M2          ,10.76,1.426
8.24,G3V         ,9.34,0.673
3.94,A8V         ,9.88,0.25
0.63,G6Ib/II     ,8.33,1.391
3.64,K0III       ,8.57,1.069
4.1,F0          ,9.82,0.5
9.06,            ,9.89,0.625
5.15,A1V         ,9.09,0.171
-0.38,A7          ,10.1,0.309
1.31,F2V         ,9.54,0.372
20.41,G2/G3V      ,8.44,0.63
6.48,F8IV        ,9.12,0.555
2.35,A0V         ,9.12,0.051
11.69,F6/F7IV/V   ,8.24,0.505
2.78,F0IV/V      ,8.59,0.375
4.4,F2          ,10.19,0.457
1.71,M...        ,9.73,1.029
4.87,G0          ,10,0.523
13.34,F5V         ,8.48,0.446
3.48,G8III       ,7.8,0.9
10.68,            ,11.26,1.016
6.03,F2          ,9.81,0.41
2.67,K1IIICN...  ,8.09,1.183
6.09,A1/A2V      ,7.29,0.116
2.19,B9V         ,7.71,-0.062
5.36,            ,10.49,0.454
7.37,G0V         ,8.9,0.579
3.33,A1/2V + KIII,6.87,0.426
1.31,K0III       ,9.29,1.159
2.9,K1IIICN...  ,8.03,1.146
1.96,A1IV        ,8.97,0.1
4.31,B8V         ,7.45,0.044
0.94,F2          ,10.19,0.523
4.79,A3m...      ,7.94,0.28
1.94,G5          ,9.57,0.836
6.54,G8/K0III    ,7.71,1.011
2.21,K1/K2III    ,8.5,1.265
4.41,K5III       ,7.29,1.623
1.36,WC...       ,10.69,1.11
15.86,F3/F5V      ,6.78,0.436
7.02,A8/A9IV     ,7.89,0.289
2.3,K1III       ,8.43,1.222
2.08,F8          ,10.53,0.5
2.1,G5III       ,8.03,0.88
4.5,G8II        ,8.74,1.036
5.61,F6V         ,7.69,0.543
0.66,B2V:e       ,7.68,0.013
2.5,K5III       ,7.6,1.501
4.01,Am          ,8.78,0.22
14.61,G5          ,9.8,0.658
3.28,G3V         ,8.94,0.836
9.52,F0V         ,6.54,0.291
13.21,G5IV/V      ,7.62,0.727
3.22,B2Ib        ,3.65,-0.101
6.84,G6:III+...  ,8.28,0.807
10.03,G5V         ,9.25,0.681
3.86,B9V         ,8.73,0.032
2.45,M1/M2III+.. ,8.17,1.634
6.02,K0III       ,7.21,1.071
2.89,F2V         ,8.7,0.387
5.95,G0V         ,8.26,0.582
4.01,K1III       ,8.73,1.103
1.28,G8III/IV    ,9.64,0.95
3.21,B9V         ,8.17,-0.009
48.9,K0V         ,7.58,0.875
5.05,B9V         ,8.07,0.183
9.37,A2V         ,7.64,0.125
5.07,F8          ,10.09,0.521
4.97,G0          ,9.75,0.999
2.27,F9Ia        ,4.97,0.788
4.15,F2IV        ,8.89,0.378
3.16,K2III       ,8.09,1.273
4.09,F2IV        ,8.24,0.364
6.21,K1III       ,8.04,1.108
3.3,K1/K2III    ,7.83,1.263
4.55,F5          ,10.65,0.426
17.95,F2III       ,6.27,0.413
3.45,F5          ,10.02,0.526
5.16,F8          ,10.41,0.596
8.86,A3V         ,7.24,0.157
9.43,K0III-IV    ,5.89,1.109
0.99,G5          ,10.38,0.91
3.21,K0III       ,9.01,1.087
3.86,K2III       ,7.95,1.34
3.47,F2V         ,8.82,0.42
1.28,K5          ,8.97,1.488
3.47,Ap Si       ,8.78,0.041
2.59,K0III       ,8.84,1.1
10.35,G0          ,9.76,0.62
3.15,K2III       ,8.97,1.303
11.6,F6V         ,8.77,0.54
84.75,K5V...      ,8.69,1.124
84.75,            ,9.92,        
8.03,F3V         ,9.37,0.498
2.12,Ap...       ,7.46,-0.042
10.66,G0          ,10,0.669
-1.6,B           ,10.27,0.39
13.28,A5+...      ,6.45,0.325
2.1,G8IV        ,9.03,0.953
5.07,K0III       ,8.82,1.085
4.72,A4/A5IV     ,7.93,0.195
2.45,F0V         ,8.74,0.81
7.04,A3V         ,6.63,0.127
66.11,K0          ,9.61,1.456
0.81,M5          ,10.82,1.021
12.31,K0IV/V      ,9.31,0.876
3.22,F3V         ,9.48,0.386
2.9,K3III       ,8.11,1.437
2.71,K0III       ,8.1,1.009
3.58,G5          ,10.19,0.713
5.21,F6V         ,9.03,0.487
6.13,K0III       ,8.55,1
4.62,G8IIIp+...  ,8.85,0.621
3.35,F0          ,10.83,0.406
-1.09,M0          ,9.37,1.823
0.93,A8/A9V      ,9.81,0.277
6.74,A2/A3V      ,7.3,0.129
1.64,G8/K0III    ,9.25,0.988
1.01,K0III:      ,9.01,1.129
1.37,K1          ,8.42,1.4
10.69,G3/G5IV     ,9.33,0.682
5.58,K1III       ,8.57,1.018
3.35,G5          ,9.92,1.198
4.89,K0III       ,7.45,0.99
3,G8III       ,8.58,1.032
8.23,F6V         ,8.68,0.544
8.49,            ,11.83,0.97
2.75,K2III       ,8.51,1.248
2.14,B9V         ,9.41,0.106
18.62,K0/K1V+...  ,8.59,0.784
2.2,B7V         ,8.32,-0.07
9.33,G1V         ,9.14,0.609
8.82,F5          ,10.65,0.799
11.52,            ,11.69,0.961
6.86,G0          ,10.61,0.625
7.08,G0          ,9.87,0.625
3.53,K0III/IV    ,9.17,0.957
16.81,F5V         ,7.75,0.512
17.84,            ,11.32,1.156
4.42,G6p...      ,8.62,0.905
7.01,F5V         ,8.8,0.51
30.84,G2IV-V      ,6.26,0.549
5.72,G8III       ,8.12,0.999
1.75,G8III:      ,9.5,1.082
1.88,K2III       ,7.83,1.215
50.16,K0          ,10.24,1.386
4.12,A2V         ,6.56,0.077
1.64,B7/B8III    ,7.58,-0.022
50.64,K3V         ,8.58,1.068
29.33,G3V         ,6.97,0.584
1.01,M0III       ,7.94,1.513
21.33,M1          ,11.96,1.613
3.89,F0V         ,8.29,0.372
2.53,B9V         ,9.08,0.013
7.47,F8V         ,10.26,0.507
6.35,F0/F2V      ,8.02,0.392
4.39,Ap Si       ,7.76,0.129
6.78,F0V         ,10.16,0.357
18.13,            ,10.71,0.653
1.84,B9V         ,8.88,0.01
3.69,K2II        ,8.81,1.192
7.82,            ,11.01,0.696
1.74,C5II        ,7.72,2.97
5.14,F0V         ,9.39,0.353
-0.43,K3III       ,8.48,1.573
1.21,G6/G8III    ,9.01,1.081
1.78,K4/K5III    ,9.27,1.446
6.69,K0III       ,7.26,1.07
2.54,B2IV-V      ,6.35,-0.151
1.08,K2III       ,8.59,1.462
3.5,F6V         ,8.78,0.576
4.75,K3III       ,8.88,1.556
3.89,B2IV-V      ,6.37,-0.089
0.8,B2Iape      ,7.47,1.335
8.6,G1V         ,9.13,0.557
3.29,K1III/IV    ,7.74,1.167
3.98,G8/K0III/IV ,8.95,0.921
5.77,K1III       ,8.24,1.221
1.43,K2III       ,8.33,1.33
3.2,G:w         ,9.09,0.582
19.92,G5          ,9.36,0.935
9.28,G6V         ,9.36,0.651
6.53,A9V         ,8.22,0.3
24,G2V         ,7.62,0.592
13.63,G5V         ,7.3,0.677
18.55,G5V         ,7.68,0.77
5.51,G6V         ,9.97,0.707
6.57,G3V         ,8.68,0.595
0.76,K1III       ,8.73,1.201
11.97,G3V         ,8.82,0.636
7.92,F3III       ,6.61,0.374
6,M8III       ,5.74,1.496
6.7,K2/K3III    ,7.24,1.262
4.05,A1IV/V      ,8.23,0.182
3.11,K3III       ,6.58,1.467
2.13,M1III       ,7.99,1.855
8.77,F0IV/V      ,8.44,0.347
9.74,G1V         ,9.36,0.67
3.29,O9V         ,9.73,0.57
1.15,K3/K4IV     ,8.27,1.699
15.36,F8/G0V      ,8.67,0.65
3.72,K1/K2II     ,5.01,1.304
8.07,A2IV(m)     ,6.52,0.127
2.68,K3III:      ,8.96,1.424
3.14,K2III:      ,8.44,1.218
3.43,F3V         ,9.49,0.448
2.67,F6V         ,9.85,0.513
-0.38,G6II/III    ,9.5,1.005
8.95,K3III       ,6.4,1.327
2.09,M0III       ,7.74,1.694
0.11,K0          ,9.32,1.083
1.87,G8III/IV    ,9.18,0.983
3.47,A2III       ,6.86,0.055
3.95,K5/M0III    ,8.69,1.694
13.56,G0          ,9.91,0.784
3.95,F0IV        ,7.55,0.264
3.63,A2m...      ,8.73,0.315
3.27,A1/A2IV/V   ,9.25,0.12
9.87,G0IV/V      ,8.84,0.573
14.79,G1V         ,8.44,0.605
3.31,F5IV        ,7.64,0.572
6.56,G5IV        ,8.73,0.797
13.55,G5          ,9.87,0.753
34.98,K3V         ,8.4,0.936
3.93,F5          ,10.51,0.506
0.9,G8III       ,8.24,1.213
0.93,B3III       ,7.75,-0.053
1.57,K3III       ,7.87,1.632
1.12,K2III       ,8.54,1.311
2.36,F0          ,10.48,0.462
9.22,A1V         ,9.3,0.1
4.84,A8V         ,9.05,0.332
14.85,F5IV-V      ,6.38,0.428
-0.26,B8/B9V      ,9.18,0.083
5.31,F2          ,10.61,0.37
15.8,G8III/IV+.. ,8.39,0.679
2.65,G3/G5Vw     ,8.86,0.811
4.09,G8/K0III    ,8.19,1.07
12.01,G1V         ,9.11,0.576
2.24,F2.5        ,11.61,        
7.92,B1.5V       ,4.27,-0.182
3.9,K2III       ,7.27,1.129
1.76,G8III       ,8.71,1.035
8.3,F7V         ,9.32,        
12.53,F2V         ,7.36,0.36
8.7,G5          ,10.62,0.7
17.53,G3/G5IV     ,8.36,0.687
3.47,G6III/IVp   ,8.75,0.92
4.22,A0IV        ,6.51,0.031
9.27,G8IV        ,9,0.968
26.92,K3V         ,9.41,0.99
7.52,F3V         ,9.31,0.494
1.72,K3          ,8.89,1.646
-1.13,            ,10.54,        
11,G5V         ,9.2,1.1
3.28,K1III       ,9.01,1.344
1.17,B7III/IV    ,8.18,0.077
5.9,K0III       ,8.11,0.98
-0.41,M3III       ,8.46,1.599
1.33,B4IV        ,7.87,-0.062
7.48,F3V         ,9.08,0.418
3.25,M7e         ,7.22,1.044
4.3,G6IV        ,8.81,0.956
9.89,F5V         ,8.45,0.47
7.04,F5V         ,8.16,0.476
7.64,A0V         ,6.83,0.15
9.62,G3/G5Vp     ,9.07,0.632
8.95,F5V         ,9.64,0.488
3.43,A2V         ,6.58,0.085
1.71,B8III       ,7.35,-0.023
16.93,G8/K0V+...  ,9.18,0.681
13.46,B2Vne       ,2.84,-0.136
21.2,K0V         ,8.87,0.808
1.63,K2/K3III    ,8.07,1.58
5.47,A2/A3IV     ,7.78,0.203
3.14,B9V         ,7.25,-0.017
7.62,G8/K0III/IV ,7.05,1.015
4.56,K0/K1III    ,7.99,1.03
24.74,G3V         ,6.45,0.66
7.53,F6V         ,8.18,0.518
2.49,F2III       ,8.23,0.359
8.87,F5V         ,8.5,0.51
9.61,G2/G3V      ,9.76,0.592
9.45,F5/F6V      ,8.91,0.502
15.06,K0          ,10.28,0.99
30.6,K5V         ,9.73,1.278
1.41,B9IIIp...   ,8.26,-0.071
6.24,F5V         ,9.17,0.402
13.84,G6V         ,9.66,0.679
35.85,G6V         ,7.63,0.76
3.16,F3/F5V      ,10.28,0.328
3.21,A5V         ,9.03,0.251
1.16,A1V         ,8.33,0.107
4.27,K3III       ,8.02,1.51
2.58,B7III       ,8.18,0.036
17,G6V         ,8.88,0.691
1.57,A2IV        ,10.04,0.136
4.08,F2V         ,8.75,0.43
3.89,K2III       ,8.52,1.38
2.98,B6          ,9.09,0.169
15.64,K0III       ,6.66,0.953
2.17,Ap...       ,7.59,-0.135
6.06,F0V         ,8.5,0.355
6.21,G8IV        ,8.77,0.933
2.46,F0          ,9.87,0.33
20.74,K0IV        ,9.36,0.838
5.13,B8/B9V      ,6.37,-0.081
4.37,K0III       ,8.47,0.974
7.96,G1V         ,9.23,0.642
3.71,K1III       ,8.35,1.181
5.8,K1III       ,8.83,1.234
2.27,G8III       ,8.6,0.979
2.21,M5/M6III    ,8.08,1.341
1.42,B9V         ,9.38,0.106
10.83,G3V         ,9.18,0.705
2.15,B0IIIn      ,5.15,-0.197
7.68,G8III       ,6.48,0.959
0.24,G5          ,9.87,0.961
9.18,K0IVp...    ,8.43,0.97
5.25,K1III/IVCN. ,7.61,1.194
3.61,A0V         ,9.25,0.06
16.4,G6V         ,8.81,0.712
2.61,F5V         ,9.73,0.592
4.18,A1/A2V      ,7.76,0.194
1.38,G6/G8III    ,9.14,1.022
14.41,F5V         ,7.51,0.463
2.37,F5V         ,9.12,0.46
3.91,F0          ,10.03,0.363
1.93,M0/M1III    ,8.21,1.565
2.01,K0III       ,8.31,0.986
8.37,F6V         ,8.75,0.536
3.45,G8III/IV    ,8.98,1.032
7.67,F5V         ,9.17,0.449
2.51,B9IV/V      ,8.48,-0.094
2.84,K1III       ,8.44,1.15
3.68,K0III       ,8.9,1.199
12.9,G6IV        ,8.19,0.714
24.09,G3V         ,8.12,0.622
5.73,G8III       ,7.35,0.97
29.45,K1V         ,8.54,0.855
14.55,F5V         ,7.82,0.546
4.03,G8/K0III:w  ,9.03,0.885
0.51,K5          ,9.13,1.603
2.82,K1/K2III/IV ,8.63,1.231
5.58,F0V         ,8.76,0.369
2.44,K2/K3III    ,9.02,1.292
1.29,F0V         ,9.69,0.47
13.17,F3V         ,7.99,0.455
4.97,A1/A2Vn     ,8.44,0.1
3.06,K0II/III    ,8.78,1.143
7.87,F2V         ,8.6,0.436
0.12,B2Ib        ,8.36,0.035
2.17,K2III       ,8.04,1.603
1.08,G8III       ,8.39,0.982
3,F2V         ,10.18,0.402
0.37,A0Ia        ,7.39,0.782
7.6,F5V         ,8.49,0.529
5.93,F7V         ,8.53,0.577
1.74,M3III       ,8.54,1.525
11.44,F6V         ,8.64,0.545
5.36,            ,11.05,0.74
15.95,F7V         ,7.85,0.537
5.57,K0III       ,8.47,1.039
2.93,Ap...       ,7.59,-0.035
3.82,F0          ,10.51,0.28
1.94,O9.5Ia:     ,9.96,0.63
0.51,G5          ,9.88,1.138
4.69,G8IV/VCN... ,8.52,1.095
9.57,F5V         ,8.03,0.49
4.56,G8III       ,7.81,0.966
14.47,G6V         ,9.53,0.2
5.6,F0V         ,8.57,0.386
2.51,A2/A3III    ,9.36,0.116
4.78,G2IV/V      ,8.8,0.61
14.73,G8V         ,9.21,0.69
0.97,G8III       ,8.56,0.97
4.58,K0III       ,8.48,1.123
1.3,M3III       ,7.39,1.579
5.84,A2IV/V      ,7.91,0.094
3.06,A1V         ,8.5,0.054
2.75,G5          ,10.13,1.056
2.46,B8/B9V      ,7.92,0.175
3.74,M0III       ,8.02,1.581
3.48,M2III       ,7.96,1.724
8.41,F3/F5IV     ,6.75,0.444
26.24,K5/M0V      ,10.14,1.088
3.97,F7V         ,9.12,0.535
4.29,G8II/III    ,6.12,1.055
1.55,B3III       ,6.89,-0.06
13.55,F5V         ,7.62,0.468
6.72,F6V         ,9.07,0.543
12.41,F4V         ,6.27,0.462
4.55,G0          ,10.5,0.502
48.15,M3          ,10.65,1.643
4.41,A0V         ,8.59,0.081
4.7,G6IV        ,7.54,0.95
5.36,G8V:        ,10.27,0.856
5.68,F5V         ,10.16,0.393
5.36,F5V         ,9.68,0.513
9.02,G3V         ,9.69,0.632
4.61,K2IIICN...  ,8.12,1.166
2.66,K0IIICN...  ,8.53,1.039
8.02,G3V         ,9.56,0.595
2.32,K1II        ,6.49,1.466
2.89,K3III       ,8.64,1.371
4.82,Ap...       ,9.69,-0.057
1.85,K2          ,8.97,1.571
2.51,K2/K3III    ,7.68,1.442
4.13,A0m...      ,8.57,0.136
2.62,K0III/IV    ,8.94,1.103
0.56,G8/K0II     ,8.23,1.057
2.9,A0V         ,7.72,0.028
1.9,K0III       ,7.7,1.025
3.5,G8/K0III    ,7.26,1.042
1.02,B9V         ,9.39,-0.01
-0.32,G5          ,9.55,1.234
7.57,F2V         ,9.27,0.433
2.89,K1IIICN...  ,7.96,1.208
10.45,K0IV/V      ,8.83,0.99
3.63,K1III       ,8.57,1.173
4.71,F6:+...     ,7.63,0.64
7.65,F3V         ,8.32,0.453
1.33,F5V         ,9.39,0.512
15.47,G8IV        ,7.75,0.849
7.43,G0          ,9.77,0.737
9.3,G0V         ,9.74,0.639
6.31,F5IV/V      ,8.14,0.457
30.6,K0V         ,8.48,0.813
4.29,K0III-IV    ,6.49,1.162
-0.18,B9V         ,8.16,-0.024
2.27,K0III       ,8.79,1.073
8.4,G5V         ,9.29,0.724
7.73,F0III/IV+.. ,7.71,0.5
0.43,K3Ib        ,7.16,1.712
11.03,G2/G3V      ,9.07,0.642
8.5,G3IV/V      ,9.86,        
4.86,A9IV        ,8.92,0.304
3.6,G5          ,10.34,0.926
1.94,A1V         ,9.06,0.116
8.51,G5          ,10.13,0.709
7.85,G6          ,10.25,0.797
0.74,K3III:      ,8.19,1.715
4.51,K1III       ,8.2,1.178
4.13,A1V         ,9.06,0.089
-0.79,Ap...       ,9.24,-0.037
2.19,K2/K3III:   ,8.93,1.263
3.34,G8/K0III:   ,9.29,1.04
10.9,G0/G1V      ,8.33,0.598
5.75,K3III       ,8.61,1.26
3.91,A1V         ,9.05,0.157
7.11,K0p...      ,7.91,1.126
3.49,K1III       ,8.83,1.15
-0.45,            ,9.54,1.457
11.35,F5IV        ,7.27,0.409
3.06,K0III/IVp   ,9.09,1.084
2.53,A1V         ,7.53,0.114
0.98,B4V         ,7.51,-0.094
35.46,G2V         ,6.45,0.593
1,B1II        ,5.62,-0.043
9.7,F5          ,9.57,0.69
9.89,F3V         ,8.02,0.447
2.49,G0          ,10.55,0.46
3.05,G8III/IV    ,9.15,0.948
2.9,K0III       ,8.25,1.039
3.97,F5IV/V      ,8.72,0.468
3.41,            ,10.26,1.238
1.18,A4/A7:m...  ,8.88,0.284
-0.66,B+...       ,10.92,0.7
3.79,G8/K0III    ,8.67,0.992
2.47,K2III       ,8.98,1.501
2.33,K0III       ,8.41,1.031
4.99,K1/K2III    ,8.5,1.302
0.83,A0V         ,9.04,0.035
12.68,            ,10.54,0.81
14.99,G8V         ,9.84,0.729
4.07,F5          ,10.5,0.568
6.46,B9Vn        ,6.92,-0.067
20.86,G6/G8V      ,8.97,0.807
9.73,F3IV/V      ,6.86,0.405
7.36,F3V         ,8.88,0.453
2.96,B3V         ,6.11,-0.148
3.14,A3III       ,9.53,0.229
2.56,G5/G6II/III ,8.49,1.518
11.28,G1V         ,8.62,0.642
1.24,B3III       ,7.24,-0.11
10.3,F5/F6V      ,7.7,0.493
5.02,G8/K0III    ,6.8,0.922
5.13,F2V         ,8.77,0.4
3.49,B9IV        ,8.85,0.082
5.28,K0III       ,7.41,1.064
4.67,A7V         ,9.21,0.56
7.45,A9/F0V      ,7.94,0.343
2.31,K2/K3III    ,8.23,1.378
2.35,M0III:      ,8.52,1.898
4.53,B1.5Vp      ,4.63,-0.228
4.03,A1V         ,8.09,0.038
1.74,G8III       ,8.78,1.025
5.93,K0III       ,6.94,1.07
0.52,K2IV        ,9.29,1.441
-0.4,K3/K4III:   ,8.82,1.696
5.1,M4III       ,6.75,1.386
5.82,F0V         ,9.81,0.399
2.5,K4III       ,6.33,1.452
36.14,M1          ,10.69,1.44
